word,mode,hint,turns,status,guesses
aback,normal_0,,3,PASS,TRACE;BLUSH;ABACK
aback,hard_0,,6,PASS,TRACE;SLACK;WHACK;KNACK;QUACK;ABACK
aback,normal_1,a,5,PASS,TRACE;FLASH;KNACK;QUACK;ABACK
aback,normal_1,b,3,PASS,BORNE;PUBIC;ABACK
aback,normal_1,c,4,PASS,CHASE;CLEFT;BUNCH;ABACK
aback,normal_1,k,4,PASS,TRACK;SLUNK;WHACK;ABACK
aback,hard_1,a,6,PASS,TRACE;SLACK;WHACK;KNACK;QUACK;ABACK
aback,hard_1,b,3,PASS,BORNE;PUBIC;ABACK
aback,hard_1,c,3,PASS,CHASE;BLACK;ABACK
aback,hard_1,k,6,PASS,TRACK;SLACK;WHACK;KNACK;QUACK;ABACK
aback,normal_2,"a,b",2,PASS,BLARE;ABACK
aback,normal_2,"a,c",3,PASS,CRATE;BLACK;ABACK
aback,normal_2,"a,k",3,PASS,FRANK;BLACK;ABACK
aback,hard_2,"a,b",2,PASS,BLARE;ABACK
aback,hard_2,"a,c",3,PASS,CRATE;BLACK;ABACK
aback,hard_2,"a,k",3,PASS,FRANK;BLACK;ABACK
abase,normal_0,,3,PASS,TRACE;SLUMP;ABASE
abase,hard_0,,4,PASS,TRACE;SLAVE;PHASE;ABASE
abase,normal_1,a,5,PASS,TRACE;PSALM;DRANK;SHAVE;ABASE
abase,normal_1,e,3,PASS,STARE;BEACH;ABASE
abase,normal_1,b,4,PASS,BORNE;HABIT;ABUSE;ABASE
abase,normal_1,s,3,PASS,STARE;CLASH;ABASE
abase,hard_1,a,4,PASS,TRACE;SLAVE;PHASE;ABASE
abase,hard_1,e,5,PASS,IRATE;PLACE;SHAME;USAGE;ABASE
abase,hard_1,b,4,PASS,BORNE;TABLE;ABUSE;ABASE
abase,hard_1,s,4,PASS,STORE;PAUSE;CEASE;ABASE
abase,normal_2,"a,b",2,PASS,BLARE;ABASE
abase,normal_2,"a,s",2,PASS,LEAST;ABASE
abase,normal_2,"e,b",2,PASS,BLARE;ABASE
abase,normal_2,"e,s",2,PASS,STARE;ABASE
abase,hard_2,"a,b",2,PASS,BLARE;ABASE
abase,hard_2,"a,s",2,PASS,LEAST;ABASE
abase,hard_2,"e,b",2,PASS,BLARE;ABASE
abase,hard_2,"e,s",2,PASS,STARE;ABASE
abate,normal_0,,4,PASS,TRACE;KITTY;GLOSS;ABATE
abate,hard_0,,4,PASS,TRACE;SLATE;AGATE;ABATE
abate,normal_1,a,4,PASS,TRACE;LATTE;ABOUT;ABATE
abate,normal_1,e,4,PASS,STARE;PLACE;AGATE;ABATE
abate,normal_1,b,3,PASS,BORNE;HABIT;ABATE
abate,normal_1,t,4,PASS,THEIR;SLATE;AGATE;ABATE
abate,hard_1,a,4,PASS,TRACE;SLATE;AGATE;ABATE
abate,hard_1,e,4,PASS,IRATE;SLATE;AGATE;ABATE
abate,hard_1,b,3,PASS,BORNE;TABLE;ABATE
abate,hard_1,t,4,PASS,THEIR;SLATE;AGATE;ABATE
abate,normal_2,"a,b",3,PASS,BLARE;ABASE;ABATE
abate,normal_2,"a,t",2,PASS,TASTE;ABATE
abate,normal_2,"e,b",3,PASS,BLARE;ABASE;ABATE
abate,normal_2,"e,t",3,PASS,RESET;QUITE;ABATE
abate,hard_2,"a,b",3,PASS,BLARE;ABASE;ABATE
abate,hard_2,"a,t",2,PASS,TASTE;ABATE
abate,hard_2,"e,b",3,PASS,BLARE;ABASE;ABATE
abate,hard_2,"e,t",3,PASS,RESET;QUITE;ABATE
abbey,normal_0,,4,PASS,TRACE;PEDAL;HONEY;ABBEY
abbey,hard_0,,4,PASS,TRACE;PEDAL;HAVEN;ABBEY
abbey,normal_1,a,4,PASS,TRACE;PEDAL;ASHEN;ABBEY
abbey,normal_1,e,4,PASS,STARE;PEDAL;COVEY;ABBEY
abbey,normal_1,b,3,PASS,BORNE;TUBAL;ABBEY
abbey,normal_1,y,3,PASS,EARLY;SHADY;ABBEY
abbey,hard_1,a,4,PASS,TRACE;PEDAL;HAVEN;ABBEY
abbey,hard_1,e,4,PASS,IRATE;DECAL;HAVEN;ABBEY
abbey,hard_1,b,4,PASS,BORNE;DEBIT;LABEL;ABBEY
abbey,hard_1,y,3,PASS,EARLY;HEADY;ABBEY
abbey,normal_2,"a,b",2,PASS,BLARE;ABBEY
abbey,normal_2,"a,y",4,PASS,TARDY;ALLAY;AGONY;ABBEY
abbey,normal_2,"e,b",2,PASS,BLARE;ABBEY
abbey,normal_2,"e,y",2,PASS,READY;ABBEY
abbey,hard_2,"a,b",2,PASS,BLARE;ABBEY
abbey,hard_2,"a,y",4,PASS,TARDY;ALLAY;AGONY;ABBEY
abbey,hard_2,"e,b",2,PASS,BLARE;ABBEY
abbey,hard_2,"e,y",2,PASS,READY;ABBEY
abbot,normal_0,,4,PASS,TRACE;FLUID;PANSY;ABBOT
