word,entropy,worst_case,win_prob,score
tears,5.9521,0.0949,0.000291,5.9237
tries,5.9174,0.0809,0.000334,5.8932
stare,5.8683,0.0949,8e-05,5.8398
tires,5.8581,0.0809,0.000106,5.8338
taser,5.833,0.0949,1.4e-05,5.8045
rates,5.8304,0.0949,0.000747,5.802
tales,5.8105,0.072,0.000124,5.7889
taels,5.8073,0.0829,2e-06,5.7824
tiers,5.8024,0.0809,1.8e-05,5.7781
tones,5.7716,0.0854,5.7e-05,5.746
slate,5.7593,0.0763,6.5e-05,5.7364
store,5.7248,0.0656,0.001031,5.7051
terns,5.7089,0.0846,3e-06,5.6835
trace,5.7073,0.0813,0.000152,5.6829
share,5.7067,0.0851,0.001561,5.6812
saner,5.7038,0.0852,2e-06,5.6782
arise,5.6965,0.0636,8.4e-05,5.6774
tines,5.6946,0.0864,2e-06,5.6687
trans,5.6971,0.1039,0.000253,5.666
irate,5.685,0.0698,6e-06,5.6641
hares,5.6893,0.0851,6e-06,5.6637
stale,5.6853,0.0763,2.7e-05,5.6624
raise,5.6753,0.0636,0.000554,5.6562
rites,5.6762,0.0809,2.7e-05,5.6519
arles,5.68,0.0959,3e-06,5.6512
snare,5.6758,0.0852,1.8e-05,5.6502
trade,5.6664,0.078,0.001298,5.6431
arose,5.6619,0.0738,5.3e-05,5.6398
trine,5.6594,0.0802,3e-06,5.6354
tiles,5.6547,0.0647,5e-05,5.6353
toner,5.6552,0.0703,1.2e-05,5.6341
trois,5.6349,0.0682,6e-06,5.6144
crate,5.6356,0.0813,2.9e-05,5.6112
least,5.6349,0.0825,0.002712,5.6102
alert,5.6325,0.0766,0.000211,5.6096
roast,5.6249,0.0756,7.3e-05,5.6022
heart,5.6182,0.1007,0.00201,5.588
carte,5.607,0.0813,1.4e-05,5.5826
notes,5.6048,0.0854,0.000681,5.5792
hears,5.604,0.0851,5.9e-05,5.5784
sorel,5.6048,0.0925,2e-06,5.5771
saute,5.6018,0.0853,3e-06,5.5762
cares,5.6055,0.1023,0.000247,5.5748
snore,5.5941,0.076,6e-06,5.5713
stile,5.5905,0.0745,2e-06,5.5682
stone,5.5866,0.0671,0.000621,5.5664
trios,5.5899,0.0813,3e-06,5.5655
nears,5.5899,0.0852,7e-06,5.5643
sated,5.5832,0.0696,3e-06,5.5623
shear,5.585,0.0851,2.5e-05,5.5594
aster,5.5875,0.0949,6e-06,5.559
soler,5.5844,0.085,2e-06,5.5589
dares,5.5875,0.1,1.6e-05,5.5575
later,5.5799,0.0766,0.003043,5.5569
siren,5.5807,0.0947,2.8e-05,5.5523
tried,5.573,0.0793,0.001423,5.5492
hates,5.5739,0.0994,0.000139,5.5441
tased,5.5617,0.0671,2e-06,5.5415
cates,5.5651,0.0807,4e-06,5.5409
ariel,5.5598,0.0648,3.4e-05,5.5403
raine,5.5582,0.0682,5e-06,5.5378
shale,5.5601,0.0845,4.8e-05,5.5347
shore,5.5577,0.0775,0.000211,5.5345
tails,5.5593,0.1031,4.7e-05,5.5284
lites,5.5469,0.0647,2e-06,5.5275
atone,5.5447,0.0575,7e-06,5.5274
dates,5.5475,0.0696,0.000341,5.5266
hires,5.5579,0.1084,3e-05,5.5254
tired,5.5461,0.0793,0.000505,5.5224
alter,5.5443,0.0766,0.00011,5.5213
stole,5.5428,0.0725,0.00016,5.5211
roles,5.5464,0.0909,0.000271,5.5191
thane,5.5455,0.0931,7e-06,5.5176
reals,5.5515,0.1162,5e-06,5.5167
lanes,5.544,0.0915,9.2e-05,5.5165
litre,5.5348,0.069,3.1e-05,5.5141
sitar,5.5333,0.0857,3e-06,5.5076
earns,5.5371,0.0991,3.6e-05,5.5074
aeons,5.5403,0.1105,2e-06,5.5072
hater,5.5332,0.1007,1.4e-05,5.503
tides,5.5258,0.0797,2.9e-05,5.5019
shire,5.5319,0.1084,2.9e-05,5.4994
stern,5.5207,0.0846,7.8e-05,5.4953
dears,5.5251,0.1,3e-06,5.4951
grate,5.5232,0.1068,1.5e-05,5.4911
sorta,5.5135,0.0756,1.9e-05,5.4908
anise,5.5072,0.0699,4e-06,5.4862
saint,5.5177,0.1101,0.000253,5.4846
snort,5.5129,0.0951,1e-05,5.4843
shite,5.5174,0.114,2e-05,5.4832
cores,5.5094,0.0902,3.3e-05,5.4823
laser,5.5078,0.0959,0.000156,5.4791
cries,5.509,0.1007,8.4e-05,5.4788
trice,5.5044,0.0894,2e-06,5.4776
riots,5.497,0.0701,7.3e-05,5.476
heats,5.5028,0.0994,2.5e-05,5.473
artis,5.4925,0.0857,4e-06,5.4668
heirs,5.4967,0.1084,3.2e-05,5.4641
rated,5.487,0.078,0.000196,5.4636
haste,5.4916,0.0994,2.3e-05,5.4618
aisle,5.4849,0.0799,5.2e-05,5.461
stade,5.4821,0.0757,5e-06,5.4594
cater,5.483,0.0813,3.5e-05,5.4586
horse,5.4811,0.0751,0.000567,5.4585
caste,5.4831,0.0861,3.9e-05,5.4572
doers,5.4877,0.1058,4e-06,5.456
tread,5.4809,0.0884,3.3e-05,5.4543
dries,5.4798,0.0864,1.6e-05,5.4539
those,5.4763,0.0856,0.007821,5.4507
sired,5.4766,0.0864,4e-06,5.4507
tinea,5.4749,0.082,2e-06,5.4503
scare,5.4802,0.1023,0.000116,5.4495
sonar,5.4727,0.0799,2e-05,5.4487
tenor,5.4714,0.0837,2.5e-05,5.4463
telos,5.4671,0.0709,2e-06,5.4459
sager,5.4747,0.1116,3e-06,5.4413
acres,5.4709,0.1023,0.000146,5.4402
stair,5.4642,0.0857,1.8e-05,5.4385
gates,5.4662,0.0984,0.000196,5.4367
short,5.4606,0.0943,0.002105,5.4323
tesla,5.4567,0.0825,5.8e-05,5.432
wares,5.4637,0.1062,1.5e-05,5.4318
hales,5.4532,0.0753,8e-06,5.4306
trash,5.4662,0.1227,0.000259,5.4294
races,5.46,0.1023,0.000236,5.4293
leant,5.4594,0.1035,3e-06,5.4284
earls,5.4621,0.1128,7e-06,5.4283
noise,5.4499,0.0839,0.000349,5.4247
react,5.4489,0.0813,0.000142,5.4245
leans,5.4643,0.1334,1.8e-05,5.4243
suite,5.4512,0.0899,0.000149,5.4242
sited,5.4437,0.0797,6e-06,5.4198
loser,5.4447,0.085,0.000101,5.4192
riles,5.4419,0.0776,2e-06,5.4186
stein,5.4438,0.0864,4.4e-05,5.4179
seton,5.4431,0.0853,7e-06,5.4175
rants,5.4464,0.1039,1.3e-05,5.4153
tapes,5.4484,0.1182,6.5e-05,5.4129
their,5.4417,0.1039,0.021051,5.4105
crane,5.4343,0.0808,8.2e-05,5.4101
